data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible,note
movielens,100x100,100,100,5,simulated_annealing,44,156.92551821453387,0.4690407976033748,0.8654028750024736,0.057693525000164905,0.014725750079378486,0.014994004624895751,0.8338123232824728,0.0008725841762498021,1500,0.0005558748821883152,,
movielens,30x30,30,30,2,path_integral,42,40.977488134879486,0.3679590337189954,0.353285750024952,0.0235523833349968,0.002785082091577351,0.0023509094025939703,0.34749182034283876,0.00025646097492426634,450,0.0007722040452063084,,
movielens,30x30,30,30,2,path_integral,43,40.60857383529569,0.36464635264998596,0.4494693339802325,0.029964622265348833,0.003501664032228291,0.004294327110983431,0.4406251049367711,0.0003647076664492488,450,0.0009791668998594912,,
movielens,30x30,30,30,2,path_integral,44,40.98404594147476,0.3680179198120173,0.3426113330060616,0.02284075553373744,0.002506418153643608,0.002113612135872245,0.33739218360278755,0.00023520574904978275,450,0.0007497604080061946,,
movielens,30x30,30,30,5,path_integral,42,33.88987579263349,0.3043155282839268,1.1680639169644564,0.07787092779763043,0.003174958750605583,0.004682624712586403,1.159361140918918,0.0003158331383019686,450,0.002576358090930929,,
movielens,30x30,30,30,5,path_integral,43,34.71800936708006,0.3117517876476198,1.1630731250625104,0.07753820833750069,0.0032234160462394357,0.004579044645652175,1.1544528119266033,0.00031840940937399864,450,0.0025654506931702295,,
movielens,30x30,30,30,5,path_integral,44,33.97251176089856,0.30505756134688966,1.1597469160333276,0.07731646106888851,0.003129707183688879,0.004501737537793815,1.1512791968416423,0.00033039157278835773,450,0.0025583982152036495,,
movielens,50x50,50,50,2,path_integral,42,74.07835598706063,0.4095290255790627,0.6069765409920365,0.04046510273280243,0.004025207948870957,0.0045324842212721705,0.59735832514707,0.00043794058728963137,750,0.00079647776686276,,
movielens,50x50,50,50,2,path_integral,43,74.16469356942939,0.41000632755893524,0.5809714579954743,0.03873143053303162,0.004051834112033248,0.00458776718005538,0.5712984732817858,0.00043777748942375183,750,0.0007617312977090478,,
movielens,50x50,50,50,2,path_integral,44,74.04840969775532,0.40936347284081004,0.5807317920261994,0.038715452801746625,0.004263334791176021,0.004614444449543953,0.5707872365601361,0.0004409870598465204,750,0.0007610496487468481,,
